rotten_id	title	year	mpaa_rating	runtime	release_theater	release_dvd	critics_rating	critics_score	audience_rating	audience_score	reviews_num
770803031	No Impact Man: The Documentary	2009	Unrated	92	2009-09-04	2010-01-19	81	Certified Fresh	63	Upright	48
770808105	White on Rice	2009	PG-13	86	2009-09-11	2010-03-01	45	Rotten	52	Spilled	12
770796420	35 Rhums (35 Shots of Rum)	2008	Unrated	100	2008-09-01	2010-04-20	97	Certified Fresh	63	Upright	59
770783548	Jennifer's Body	2009	R	102	2009-09-18	2009-12-29	42	Rotten	34	Spilled	173
770804718	Love Happens	2009	PG-13	109	2009-09-18	2010-02-02	17	Rotten	37	Spilled	108
770768852	Bright Star	2009	PG	119	2009-05-15	2010-01-26	83	Certified Fresh	69	Upright	156
770682093	Splice	2010	R	100	2010-06-04	2010-10-05	74	Certified Fresh	37	Spilled	184
770805045	Fame	2009	PG	107	2009-09-25	2010-01-12	25	Rotten	36	Spilled	120
770799661	Pandorum	2009	R	94	2009-09-25	2010-01-19	28	Rotten	48	Spilled	82
770801542	Surrogates	2009	PG-13	89	2009-09-25	2010-01-26	39	Rotten	38	Spilled	115
770684451	Brief Interviews with Hideous Men	2009	Unrated	80	2009-09-25	2010-03-16	39	Rotten	32	Spilled	36
770805147	Coco Before Chanel	2009	PG-13	110	2009-09-25	2010-02-16	63	Fresh	57	Spilled	130
770810236	I Hope They Serve Beer in Hell	2009	R	105	2009-09-25	2010-01-26	20	Rotten	42	Spilled	35
770811421	Capitalism: A Love Story	2009	R	120	2009-09-23	2010-03-09	75	Certified Fresh	74	Upright	179
770717076	The Invention of Lying	2009	PG-13	99	2009-10-02	2010-01-19	58	Rotten	39	Spilled	183
770785797	Whip It	2009	PG-13	111	2009-10-02	2010-01-26	84	Certified Fresh	74	Upright	180
770802740	Zombieland	2009	R	88	2009-10-02	2010-02-02	90	Certified Fresh	86	Upright	221
770785948	A Serious Man	2009	R	106	2009-10-02	2010-02-09	89	Certified Fresh	67	Upright	208
770682300	Jackboots on Whitehall	2010	Unrated	91	2010-06-20	2011-07-26	47	Rotten	26	Spilled	17
770803584	Couples Retreat	2009	PG-13	107	2009-10-09	2010-02-09	11	Rotten	40	Spilled	158
770783965	Bronson	2008	R	92	2009-10-09	2010-02-09	77	Certified Fresh	74	Upright	80
770802240	The Damned United	2009	R	97	2009-10-09	2010-02-23	94	Certified Fresh	85	Upright	129
770802637	Good Hair	2009	PG-13	96	2009-10-09	2010-02-16	94	Certified Fresh	69	Upright	81
770740037	Trucker	2008	R	93	2009-10-09	2010-01-05	58	Rotten	58	Spilled	38
